Name,Aircraft,Category
Alex Rodriguez,N313AR,Sports
Bill Gates,N887WM,Business
Bill Gates,N194WM,Business
Blake Shelton,N958TB,Entertainment
Caesars Palace Casino,N898CE,Entertainment
Dan Bilzerian,N701DB,Sports
David Geffen,N221DG,Entertainment
Donald Trump,N757AF,Business
Dr. Phil,N4DP,Entertainment
Drake,N787CJ,Entertainment
Elon Musk,N628TS,Business
Elton John,M-EDZE,Entertainment
Eric Schmidt,N652WE,Business
Floyd Mayweather,N151SD,Sports
George Lucas,N138GL,Entertainment
Google,N10XG,Business
Harrison Ford,N6GU,Entertainment
Jay Z,N444SC,Entertainment
Jeff Bezos,N758PB,Business
Jerry Jones,N1DC,Sports
Jim Carrey,N162JC,Entertainment
Judge Judy,N555QB,Entertainment
Kenny Chesney,N7KC,Entertainment
Kid Rock,N71KR,Entertainment
Kim Kardashian,N1980K,Entertainment
Kylie Jenner,N810KJ,Entertainment
Lady Gaga,N474D,Entertainment
Larry Ellison,N817GS,Business
Luke Bryan,N506AB,Entertainment
Marc Benioff,N650HA,Business
Mark Cuban,N921MT,Business
Mark Wahlburg,N143MW,Entertainment
Mark Zuckerberg,N68885,Business
Matt Damon,N444WT,Entertainment
Michael Bloomberg,N5MV,Business
Michael Bloomberg,N47EG,Business
Michael Bloomberg,N8AG,Business
Michael Jordan,N236MJ,Sports
Nike Corporation,N6453,Sports
